基金全称,宝盈半导体产业混合型发起式证券投资基金,基金简称,宝盈半导体产业混合发起式C
基金代码,017076（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年11月16日,成立日期/规模,2022年12月05日 / 0.282亿份
资产规模,0.95亿元（截止至：2025年06月30日）份额规模0.7265亿份（截止至：2025年06月30日）,份额规模,0.7265亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,光大银行
基金经理人,张天闻,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证半导体产业指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+商业银行人民币活期存款利率(税后)*20%,跟踪标的,该基金无跟踪标的
