基金全称,西部利得中证人工智能主题指数增强型证券投资基金,基金简称,西部利得人工智能主题指数增强A
基金代码,011832（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年05月06日,成立日期/规模,2021年06月08日 / 4.540亿份
资产规模,1.92亿元（截止至：2025年06月30日）份额规模1.908亿份（截止至：2025年06月30日）,份额规模,1.908亿份（截止至：2025年06月30日）
基金管理人,西部利得基金,基金托管人,工商银行
基金经理人,翟梓舰、吴海健,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,中证人工智能主题指数收益率*95%+活期存款利率(税后)*5%,跟踪标的,中证人工智能主题指数
