基金全称,安信新回报灵活配置混合型证券投资基金,基金简称,安信新回报混合A
基金代码,002770（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年05月04日,成立日期/规模,2016年05月09日 / 5.011亿份
资产规模,1.59亿元（截止至：2025年06月30日）份额规模0.554亿份（截止至：2025年06月30日）,份额规模,0.554亿份（截止至：2025年06月30日）
基金管理人,安信基金,基金托管人,宁波银行
基金经理人,陈鹏,成立来分红,每份累计0.05元（1次）
管理费率,0.80%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）
业绩比较基准,50%*沪深300指数收益率+50%*中债总指数(全价)收益率,跟踪标的,该基金无跟踪标的
