基金全称,易方达改革红利混合型证券投资基金,基金简称,易方达改革红利混合
基金代码,001076（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2015年03月30日,成立日期/规模,2015年04月23日 / 21.993亿份
资产规模,16.11亿元（截止至：2025年06月30日）份额规模9.0409亿份（截止至：2025年06月30日）,份额规模,9.0409亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,邮储银行
基金经理人,陈皓,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×70%+一年期人民币定期存款利率(税后)×30%,跟踪标的,该基金无跟踪标的
