基金全称,前海开源沪港深新机遇灵活配置混合型证券投资基金,基金简称,前海开源沪港深新机遇混合A
基金代码,002860（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年05月31日,成立日期/规模,2016年08月30日 / 20.042亿份
资产规模,0.35亿元（截止至：2025年06月30日）份额规模0.3871亿份（截止至：2025年06月30日）,份额规模,0.3871亿份（截止至：2025年06月30日）
基金管理人,前海开源基金,基金托管人,农业银行
基金经理人,崔宸龙,成立来分红,每份累计0.10元（1次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*40%+恒生指数收益率*40%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
