基金全称,华泰柏瑞中证科技100交易型开放式指数证券投资基金联接基金,基金简称,华泰柏瑞中证科技ETF联接C
基金代码,008400（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年02月17日,成立日期/规模,2020年02月26日 / 12.867亿份
资产规模,0.50亿元（截止至：2025年06月30日）份额规模0.3604亿份（截止至：2025年06月30日）,份额规模,0.3604亿份（截止至：2025年06月30日）
基金管理人,华泰柏瑞基金,基金托管人,中信证券
基金经理人,胡亦清,成立来分红,每份累计0.07元（1次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.25%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证科技100指数收益率×95%+银行活期存款利率(税后)×5%,跟踪标的,中证科技100指数
