基金全称,富安达优势成长混合型证券投资基金,基金简称,富安达优势成长混合A
基金代码,710001（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2011年08月16日,成立日期/规模,2011年09月21日 / 10.527亿份
资产规模,8.14亿元（截止至：2025年09月30日）份额规模1.7127亿份（截止至：2025年09月30日）,份额规模,1.7127亿份（截止至：2025年09月30日）
基金管理人,富安达基金,基金托管人,交通银行
基金经理人,申坤,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*75%+上证国债指数收益率*25%,跟踪标的,该基金无跟踪标的
