基金全称,南方半导体产业股票型发起式证券投资基金,基金简称,南方半导体产业股票发起C
基金代码,020554（前端）基金类型股票型,基金类型,股票型
发行日期,2024年04月15日,成立日期/规模,2024年04月30日 / 0.220亿份
资产规模,0.32亿元（截止至：2025年06月30日）份额规模0.2233亿份（截止至：2025年06月30日）,份额规模,0.2233亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,浦发银行
基金经理人,郑晓曦,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证全指半导体产品与设备指数收益率*70%+中证港股通综合指数(人民币)收益率*15%+上证国债指数收益率*15%,跟踪标的,该基金无跟踪标的
