基金全称,南方信息创新混合型证券投资基金,基金简称,南方信息创新混合C
基金代码,007491（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年06月05日,成立日期/规模,2019年06月19日 / 5.366亿份
资产规模,15.70亿元（截止至：2025年06月30日）份额规模8.7284亿份（截止至：2025年06月30日）,份额规模,8.7284亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,建设银行
基金经理人,郑晓曦,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证信息技术指数收益率*60%+中证港股通综合指数收益率*10%+上证国债指数收益率*30%,跟踪标的,该基金无跟踪标的
