基金全称,中欧新兴价值一年持有期混合型证券投资基金,基金简称,中欧新兴价值一年持有混合C
基金代码,013221（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月26日,成立日期/规模,2021年09月06日 / 53.089亿份
资产规模,8.33亿元（截止至：2025年06月30日）份额规模9.4624亿份（截止至：2025年06月30日）,份额规模,9.4624亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,平安银行
基金经理人,袁维德,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证500指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+银行活期存款利率(税后)*20%,跟踪标的,该基金无跟踪标的
