基金全称,东方新能源汽车主题混合型证券投资基金,基金简称,东方新能源汽车混合
基金代码,400015（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2011年11月21日,成立日期/规模,2011年12月28日 / 3.359亿份
资产规模,78.58亿元（截止至：2025年06月30日）份额规模38.6977亿份（截止至：2025年06月30日）,份额规模,38.6977亿份（截止至：2025年06月30日）
基金管理人,东方基金,基金托管人,邮储银行
基金经理人,李瑞,成立来分红,每份累计0.46元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证新能源汽车指数收益率80%+银行活期存款利率20%,跟踪标的,该基金无跟踪标的
