基金全称,富国匠心成长混合型证券投资基金,基金简称,富国匠心成长混合C
基金代码,019348（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年02月08日,成立日期/规模,2024年04月30日 / 4.225亿份
资产规模,0.70亿元（截止至：2025年06月30日）份额规模0.4699亿份（截止至：2025年06月30日）,份额规模,0.4699亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,交通银行
基金经理人,徐智翔,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*70%+中证港股通综合指数收益率*10%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
