基金全称,中信保诚成长动力混合型证券投资基金,基金简称,中信保诚成长动力混合A
基金代码,009913（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年07月31日,成立日期/规模,2020年09月09日 / 11.052亿份
资产规模,0.91亿元（截止至：2025年06月30日）份额规模0.8939亿份（截止至：2025年06月30日）,份额规模,0.8939亿份（截止至：2025年06月30日）
基金管理人,中信保诚基金,基金托管人,招商银行
基金经理人,吴振华,成立来分红,每份累计0.15元（3次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
