基金全称,鹏华高质量增长混合型证券投资基金,基金简称,鹏华高质量增长混合A
基金代码,010490（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年11月02日,成立日期/规模,2020年11月18日 / 31.969亿份
资产规模,10.17亿元（截止至：2025年06月30日）份额规模12.4212亿份（截止至：2025年06月30日）,份额规模,12.4212亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,中国银行
基金经理人,胡颖,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*60%+恒生指数收益率*20%(经汇率估值调整)+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
