基金全称,景顺长城专精特新量化优选股票型证券投资基金,基金简称,景顺长城专精特新量化优选股票C
基金代码,014063（前端）基金类型股票型,基金类型,股票型
发行日期,2021年11月05日,成立日期/规模,2021年11月25日 / 19.533亿份
资产规模,2.77亿元（截止至：2025年06月30日）份额规模3.504亿份（截止至：2025年06月30日）,份额规模,3.504亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,招商银行
基金经理人,徐喻军、曾理,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证1000指数*85%+商业银行活期存款利率(税后)*10%+恒生指数收益率(使用估值汇率折算)*5%,跟踪标的,该基金无跟踪标的
