基金全称,长江新兴产业混合型发起式证券投资基金,基金简称,长江新兴产业混合A
基金代码,015320（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年04月06日,成立日期/规模,2022年04月22日 / 3.697亿份
资产规模,1.61亿元（截止至：2025年06月30日）份额规模1.5798亿份（截止至：2025年06月30日）,份额规模,1.5798亿份（截止至：2025年06月30日）
基金管理人,长江证券(上海)资管,基金托管人,交通银行
基金经理人,张剑鑫,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证新兴产业指数收益率*55%+中证港股通综合指数收益率*20%+中债综合指数收益率*25%,跟踪标的,该基金无跟踪标的
