基金全称,东吴科技创新混合型证券投资基金,基金简称,东吴科技创新混合C
基金代码,020967（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年07月29日,成立日期/规模,2024年08月20日 / 3.363亿份
资产规模,1.66亿元（截止至：2025年06月30日）份额规模1.4705亿份（截止至：2025年06月30日）,份额规模,1.4705亿份（截止至：2025年06月30日）
基金管理人,东吴基金,基金托管人,平安银行
基金经理人,刘元海,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*70%+恒生指数收益率*10%+中债综合指数(全价)收益率*20%,跟踪标的,该基金无跟踪标的
