基金全称,浦银安盛睿智精选灵活配置混合型证券投资基金,基金简称,浦银安盛睿智精选混合C
基金代码,519173（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年01月04日,成立日期/规模,2016年02月03日 / 6.777亿份
资产规模,0.12亿元（截止至：2025年06月30日）份额规模0.091亿份（截止至：2025年06月30日）,份额规模,0.091亿份（截止至：2025年06月30日）
基金管理人,浦银安盛基金,基金托管人,广发证券
基金经理人,秦闻,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*55%+中证全债指数收益率*45%,跟踪标的,该基金无跟踪标的
