基金全称,国泰海通君得明混合型证券投资基金,基金简称,国泰海通君得明混合
基金代码,952004（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2010年01月08日,成立日期/规模,2019年08月30日 / --
资产规模,11.22亿元（截止至：2025年06月30日）份额规模5.0789亿份（截止至：2025年06月30日）,份额规模,5.0789亿份（截止至：2025年06月30日）
基金管理人,国泰海通资管,基金托管人,光大银行
基金经理人,李子波、陈思靖,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,---（前端）
业绩比较基准,沪深300指数收益率*70%+中债综合指数收益率*30%,跟踪标的,该基金无跟踪标的
