基金全称,博时中证有色金属矿业主题指数证券投资基金,基金简称,博时中证有色金属矿业主题指数A
基金代码,018132（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年04月03日,成立日期/规模,2023年05月16日 / 2.474亿份
资产规模,0.13亿元（截止至：2025年06月30日）份额规模0.1236亿份（截止至：2025年06月30日）,份额规模,0.1236亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,交通银行
基金经理人,王祥,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）
业绩比较基准,中证有色金属矿业主题指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证有色金属矿业主题指数
