基金全称,工银瑞信科技创新混合型证券投资基金,基金简称,工银科技创新混合
基金代码,007353（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年04月29日,成立日期/规模,2019年05月06日 / 9.895亿份
资产规模,4.19亿元（截止至：2025年06月30日）份额规模2.6794亿份（截止至：2025年06月30日）,份额规模,2.6794亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,招商银行
基金经理人,胡志利,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*70%+恒生指数收益率*5%+中债综合财富(总值)指数收益率*25%,跟踪标的,该基金无跟踪标的
