基金全称,创金合信积极成长股票型发起式证券投资基金,基金简称,创金合信积极成长股票C
基金代码,011378（前端）基金类型股票型,基金类型,股票型
发行日期,2021年01月25日,成立日期/规模,2021年02月08日 / 0.315亿份
资产规模,0.44亿元（截止至：2025年06月30日）份额规模0.4205亿份（截止至：2025年06月30日）,份额规模,0.4205亿份（截止至：2025年06月30日）
基金管理人,创金合信基金,基金托管人,工商银行
基金经理人,王先伟,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*80%+中证港股通综合指数收益率*10%+中证综合债指数收益率*10%,跟踪标的,该基金无跟踪标的
