基金全称,华安创业板50指数型证券投资基金,基金简称,华安创业板50指数C
基金代码,014985（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年06月24日,成立日期/规模,2022年02月22日 / --
资产规模,3.31亿元（截止至：2025年06月30日）份额规模2.9016亿份（截止至：2025年06月30日）,份额规模,2.9016亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,农业银行
基金经理人,刘璇子,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.20%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,创业板50指数收益率*95%+同期银行活期存款利率(税后)*5%,跟踪标的,创业板50指数
