基金全称,华安沪港深机会灵活配置混合型证券投资基金,基金简称,华安沪港深机会灵活配置混合
基金代码,004263（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2017年04月10日,成立日期/规模,2017年05月10日 / 2.331亿份
资产规模,8.87亿元（截止至：2025年06月30日）份额规模4.9916亿份（截止至：2025年06月30日）,份额规模,4.9916亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,工商银行
基金经理人,陆秋渊、盛骅,成立来分红,每份累计0.21元（3次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,30%×中证800指数收益率+30%×恒生综合指数收益率+40%×中国债券总指数收益率,跟踪标的,该基金无跟踪标的
