基金全称,汇添富中证电池主题交易型开放式指数证券投资基金发起式联接基金,基金简称,汇添富中证电池主题ETF发起式联接D
基金代码,015808（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年07月26日,成立日期/规模,2022年05月23日 / --
资产规模,0.07亿元（截止至：2025年06月30日）份额规模0.1429亿份（截止至：2025年06月30日）,份额规模,0.1429亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,中国银行
基金经理人,董瑾、罗昊,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证电池主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证电池主题指数
