基金全称,中欧丰泰港股通混合型证券投资基金,基金简称,中欧丰泰港股通混合C
基金代码,016298（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年08月29日,成立日期/规模,2022年09月14日 / 3.206亿份
资产规模,1.49亿元（截止至：2025年06月30日）份额规模1.1803亿份（截止至：2025年06月30日）,份额规模,1.1803亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,招商银行
基金经理人,罗佳明,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证港股通综合指数收益率(人民币)*80%+沪深300指数收益率*10%+中债综合全价指数收益率*10%,跟踪标的,该基金无跟踪标的
