基金全称,红塔红土信息产业精选股票型发起式证券投资基金,基金简称,红塔红土信息产业精选股票发起式C
基金代码,015735（前端）基金类型股票型,基金类型,股票型
发行日期,2023年03月06日,成立日期/规模,2023年03月08日 / 0.101亿份
资产规模,0.03亿元（截止至：2025年06月30日）份额规模0.0191亿份（截止至：2025年06月30日）,份额规模,0.0191亿份（截止至：2025年06月30日）
基金管理人,红塔红土,基金托管人,兴业银行
基金经理人,赵耀,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证全指信息技术指数收益率*90%+中债综合财富(总值)指数收益率*10%,跟踪标的,该基金无跟踪标的
