基金全称,大成聚优成长混合型证券投资基金,基金简称,大成聚优成长混合C
基金代码,014225（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年01月04日,成立日期/规模,2022年01月19日 / 32.869亿份
资产规模,3.36亿元（截止至：2025年06月30日）份额规模3.1989亿份（截止至：2025年06月30日）,份额规模,3.1989亿份（截止至：2025年06月30日）
基金管理人,大成基金,基金托管人,农业银行
基金经理人,韩创,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*60%+恒生指数收益率*20%+中证综合债券指数收益率*20%,跟踪标的,该基金无跟踪标的
