基金全称,华宝动力组合混合型证券投资基金,基金简称,华宝动力组合混合C
基金代码,016257（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2005年09月27日,成立日期/规模,2022年07月19日 / --
资产规模,0.41亿元（截止至：2025年06月30日）份额规模0.1594亿份（截止至：2025年06月30日）,份额规模,0.1594亿份（截止至：2025年06月30日）
基金管理人,华宝基金,基金托管人,中国银行
基金经理人,刘自强,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上证180指数收益率与深证100指数收益率的流通市值加权平均*80%+上证国债指数收益率*20%,跟踪标的,该基金无跟踪标的
