基金全称,诺安研究优选混合型证券投资基金,基金简称,诺安研究优选混合C
基金代码,014497（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年04月07日,成立日期/规模,2021年12月22日 / --
资产规模,0.03亿元（截止至：2025年06月30日）份额规模0.0359亿份（截止至：2025年06月30日）,份额规模,0.0359亿份（截止至：2025年06月30日）
基金管理人,诺安基金,基金托管人,交通银行
基金经理人,邓心怡,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*70%+中证全债指数收益率*30%,跟踪标的,该基金无跟踪标的
