基金全称,富国成长领航混合型证券投资基金,基金简称,富国成长领航混合
基金代码,010966（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年01月21日,成立日期/规模,2021年01月25日 / 80.000亿份
资产规模,38.61亿元（截止至：2025年06月30日）份额规模42.201亿份（截止至：2025年06月30日）,份额规模,42.201亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,农业银行
基金经理人,杨栋,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*60%+中证港股通综合指数收益率*10%+中债综合全价指数收益率*30%,跟踪标的,该基金无跟踪标的
