基金全称,中信保诚中证800有色指数型证券投资基金(LOF),基金简称,中信保诚中证800有色指数(LOF)A
基金代码,165520（主代码）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2013年08月05日,成立日期/规模,2013年08月30日 / 3.018亿份
资产规模,8.40亿元（截止至：2025年06月30日）份额规模4.8857亿份（截止至：2025年06月30日）,份额规模,4.8857亿份（截止至：2025年06月30日）
基金管理人,中信保诚基金,基金托管人,中国银行
基金经理人,黄稚,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证800有色金属指数收益率*95%+金融同业存款利率*5%,跟踪标的,中证800有色
