基金全称,永赢科技驱动混合型证券投资基金,基金简称,永赢科技驱动C
基金代码,008920（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年02月12日,成立日期/规模,2020年02月18日 / 79.203亿份
资产规模,3.23亿元（截止至：2025年06月30日）份额规模2.4247亿份（截止至：2025年06月30日）,份额规模,2.4247亿份（截止至：2025年06月30日）
基金管理人,永赢基金,基金托管人,交通银行
基金经理人,李文宾,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.20%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率×70%+中债-综合指数(全价)收益率×30%,跟踪标的,该基金无跟踪标的
