基金全称,汇添富移动互联股票型证券投资基金,基金简称,汇添富移动互联股票C
基金代码,015198（前端）基金类型股票型,基金类型,股票型
发行日期,2014年07月28日,成立日期/规模,2022年03月07日 / --
资产规模,1.14亿元（截止至：2025年06月30日）份额规模0.7454亿份（截止至：2025年06月30日）,份额规模,0.7454亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,工商银行
基金经理人,沈若雨,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证移动互联网指数*80%+中债综合指数*20%,跟踪标的,该基金无跟踪标的
