基金全称,国泰景气行业灵活配置混合型证券投资基金,基金简称,国泰景气行业灵活配置混合
基金代码,003593（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2017年02月15日,成立日期/规模,2017年03月20日 / 5.796亿份
资产规模,3.31亿元（截止至：2025年06月30日）份额规模4.7107亿份（截止至：2025年06月30日）,份额规模,4.7107亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,工商银行
基金经理人,杜沛,成立来分红,每份累计1.45元（8次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×50%+中债综合指数收益率×50%,跟踪标的,该基金无跟踪标的
