基金全称,中信保诚中证TMT产业主题指数型证券投资基金(LOF),基金简称,中信保诚中证TMT(LOF)C
基金代码,013122（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2014年11月10日,成立日期/规模,2021年08月26日 / --
资产规模,0.19亿元（截止至：2025年06月30日）份额规模0.2247亿份（截止至：2025年06月30日）,份额规模,0.2247亿份（截止至：2025年06月30日）
基金管理人,中信保诚基金,基金托管人,建设银行
基金经理人,黄稚、HAN YILING,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证TMT产业主题指数收益率*95%+金融同业存款利率*5%,跟踪标的,中证TMT产业主题指数
