基金全称,博道远航混合型证券投资基金,基金简称,博道远航混合C
基金代码,007127（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年03月28日,成立日期/规模,2019年04月30日 / 3.627亿份
资产规模,10.31亿元（截止至：2025年06月30日）份额规模7.2766亿份（截止至：2025年06月30日）,份额规模,7.2766亿份（截止至：2025年06月30日）
基金管理人,博道基金,基金托管人,招商银行
基金经理人,杨梦,成立来分红,每份累计0.23元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率×80%+上证国债指数收益率×20%,跟踪标的,该基金无跟踪标的
