基金全称,德邦鑫星价值灵活配置混合型证券投资基金,基金简称,德邦鑫星价值灵活配置混合A
基金代码,001412（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年06月08日,成立日期/规模,2015年06月19日 / 4.655亿份
资产规模,1.05亿元（截止至：2025年06月30日）份额规模0.582亿份（截止至：2025年06月30日）,份额规模,0.582亿份（截止至：2025年06月30日）
基金管理人,德邦基金,基金托管人,交通银行
基金经理人,雷涛、陆阳,成立来分红,每份累计0.14元（5次）
管理费率,0.70%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,一年期银行定期存款利率(税后),跟踪标的,该基金无跟踪标的
