基金全称,天弘中证工业有色金属主题指数型发起式证券投资基金,基金简称,天弘中证工业有色金属主题指数发起C
基金代码,017193（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年02月27日,成立日期/规模,2023年05月30日 / 0.108亿份
资产规模,0.34亿元（截止至：2025年06月30日）份额规模0.3349亿份（截止至：2025年06月30日）,份额规模,0.3349亿份（截止至：2025年06月30日）
基金管理人,天弘基金,基金托管人,中信证券
基金经理人,贺雨轩,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.25%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证工业有色金属主题指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证工业有色金属主题指数
