基金全称,南方香港优选股票型证券投资基金,基金简称,南方香港优选股票
基金代码,160125（主代码）基金类型QDII-普通股票,基金类型,QDII-普通股票
发行日期,2011年08月25日,成立日期/规模,2011年09月26日 / 2.998亿份
资产规模,4.29亿元（截止至：2025年06月30日）份额规模2.7243亿份（截止至：2025年06月30日）,份额规模,2.7243亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,农业银行
基金经理人,熊潇雅,成立来分红,每份累计0.09元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.10%（前端）
业绩比较基准,经人民币汇率调整的恒生指数收益率×95%+人民币同期活期存款利率×5%,跟踪标的,该基金无跟踪标的
