基金全称,嘉实制造升级股票型发起式证券投资基金,基金简称,嘉实制造升级股票发起式C
基金代码,018241（前端）基金类型股票型,基金类型,股票型
发行日期,2023年07月03日,成立日期/规模,2023年07月25日 / 0.162亿份
资产规模,0.48亿元（截止至：2025年06月30日）份额规模0.3824亿份（截止至：2025年06月30日）,份额规模,0.3824亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,中信银行
基金经理人,孟夏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证智能制造主题指数收益率*40%+中证机器人指数收益率*30%+恒生指数收益率*10%+中债综合财富指数收益率*20%,跟踪标的,该基金无跟踪标的
