基金全称,国泰CES半导体芯片行业交易型开放式指数证券投资基金发起式联接基金,基金简称,国泰CES半导体芯片行业ETF联接A
基金代码,008281（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2019年11月19日,成立日期/规模,2019年11月22日 / 0.225亿份
资产规模,15.44亿元（截止至：2025年06月30日）份额规模11.2448亿份（截止至：2025年06月30日）,份额规模,11.2448亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,中国银行
基金经理人,梁杏、朱碧莹,成立来分红,每份累计0.16元（3次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,中华交易服务半导体芯片行业指数收益率×95%+银行活期存款利率(税后)×5%,跟踪标的,中华交易服务半导体芯片行业人民币指数
