基金全称,格林高股息优选混合型证券投资基金,基金简称,格林高股息优选混合A
基金代码,015289（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年08月11日,成立日期/规模,2022年11月15日 / 2.358亿份
资产规模,0.49亿元（截止至：2025年06月30日）份额规模0.3143亿份（截止至：2025年06月30日）,份额规模,0.3143亿份（截止至：2025年06月30日）
基金管理人,格林基金,基金托管人,光大银行
基金经理人,刘赞,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证红利指数收益率*50%+中证港股通高股息投资指数收益率*30%+中债综合(全价)指数收益率*20%,跟踪标的,该基金无跟踪标的
