基金全称,摩根尚睿混合型基金中基金(FOF),基金简称,摩根尚睿混合(FOF)C
基金代码,015054（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2022年01月28日,成立日期/规模,2022年02月08日 / --
资产规模,0.05亿元（截止至：2025年06月30日）份额规模0.0364亿份（截止至：2025年06月30日）,份额规模,0.0364亿份（截止至：2025年06月30日）
基金管理人,摩根基金(中国),基金托管人,建设银行
基金经理人,吴春杰,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证偏股型基金指数收益率*80%+中证债券型基金指数收益率*15%+活期存款利率(税后)*5%,跟踪标的,该基金无跟踪标的
