基金全称,淳厚信睿核心精选混合型证券投资基金,基金简称,淳厚信睿混合A
基金代码,008186（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年01月09日,成立日期/规模,2020年02月12日 / 4.621亿份
资产规模,8.34亿元（截止至：2025年06月30日）份额规模3.446亿份（截止至：2025年06月30日）,份额规模,3.446亿份（截止至：2025年06月30日）
基金管理人,淳厚基金,基金托管人,兴业证券
基金经理人,陈文,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,沪深300指数收益率×50%+中证港股通综合指数收益率×20%+中债综合全价(总值)指数收益率×30%,跟踪标的,该基金无跟踪标的
