基金全称,新华科技创新主题灵活配置混合型证券投资基金,基金简称,新华科技创新主题灵活配置混合
基金代码,002272（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年02月03日,成立日期/规模,2016年03月22日 / 4.353亿份
资产规模,1.06亿元（截止至：2025年06月30日）份额规模1.0117亿份（截止至：2025年06月30日）,份额规模,1.0117亿份（截止至：2025年06月30日）
基金管理人,新华基金,基金托管人,建设银行
基金经理人,王永明,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率×70%+中证综合债券指数收益率×30%,跟踪标的,该基金无跟踪标的
