基金全称,万家人工智能混合型证券投资基金,基金简称,万家人工智能混合C
基金代码,014162（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2018年12月24日,成立日期/规模,2021年11月19日 / --
资产规模,14.82亿元（截止至：2025年09月30日）份额规模4.2645亿份（截止至：2025年09月30日）,份额规模,4.2645亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,建设银行
基金经理人,耿嘉洲,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*65%+上证国债指数收益率*35%,跟踪标的,该基金无跟踪标的
