基金全称,兴银科技增长1个月滚动持有期混合型证券投资基金,基金简称,兴银科技增长1个月滚动混合C
基金代码,010926（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年01月28日,成立日期/规模,2021年02月18日 / 9.560亿份
资产规模,0.13亿元（截止至：2025年06月30日）份额规模0.1292亿份（截止至：2025年06月30日）,份额规模,0.1292亿份（截止至：2025年06月30日）
基金管理人,兴银基金管理,基金托管人,兴业银行
基金经理人,张世略,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.50%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*80%+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
