基金全称,工银瑞信香港中小盘股票型证券投资基金(QDII),基金简称,工银香港中小盘人民币
基金代码,002379（前端）基金类型QDII-普通股票,基金类型,QDII-普通股票
发行日期,2016年01月25日,成立日期/规模,2016年03月09日 / 2.437亿份
资产规模,1.41亿元（截止至：2025年06月30日）份额规模0.7999亿份（截止至：2025年06月30日）,份额规模,0.7999亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,中国银行
基金经理人,单文、耿家琛,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,恒生综合中型股指数收益率×50%+恒生综合小型股指数收益率×30%+香港三个月期银行同业拆借利率×20%,跟踪标的,该基金无跟踪标的
