基金全称,中加紫金灵活配置混合型证券投资基金,基金简称,中加紫金灵活配置混合C
基金代码,005374（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2018年03月05日,成立日期/规模,2018年04月04日 / 2.060亿份
资产规模,0.01亿元（截止至：2025年06月30日）份额规模0.0086亿份（截止至：2025年06月30日）,份额规模,0.0086亿份（截止至：2025年06月30日）
基金管理人,中加基金,基金托管人,光大银行
基金经理人,林沐尘,成立来分红,每份累计0.06元（1次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率×40%+恒生指数收益率×30%+中证综合债指数收益率×30%,跟踪标的,该基金无跟踪标的
