基金全称,南方港股创新视野一年持有期混合型证券投资基金,基金简称,南方港股创新视野一年持有混合A
基金代码,012586（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2021年11月16日,成立日期/规模,2021年12月28日 / 2.293亿份
资产规模,1.22亿元（截止至：2025年06月30日）份额规模0.8273亿份（截止至：2025年06月30日）,份额规模,0.8273亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,浦发银行
基金经理人,史博,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,经人民币汇率调整的恒生综合指数收益率*60%+中证800指数收益率*10%+中债综合指数收益率*30%,跟踪标的,该基金无跟踪标的
