基金全称,永赢智能领先混合型证券投资基金,基金简称,永赢智能领先混合C
基金代码,006269（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年03月04日,成立日期/规模,2019年03月26日 / 19.196亿份
资产规模,1.42亿元（截止至：2025年06月30日）份额规模0.745亿份（截止至：2025年06月30日）,份额规模,0.745亿份（截止至：2025年06月30日）
基金管理人,永赢基金,基金托管人,交通银行
基金经理人,欧子辰,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.20%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*80%+中国债券总指数收益率*20%,跟踪标的,该基金无跟踪标的
