基金全称,汇安成长优选灵活配置混合型证券投资基金,基金简称,汇安成长优选混合A
基金代码,005550（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2018年01月15日,成立日期/规模,2018年02月13日 / 2.197亿份
资产规模,0.36亿元（截止至：2025年06月30日）份额规模0.2608亿份（截止至：2025年06月30日）,份额规模,0.2608亿份（截止至：2025年06月30日）
基金管理人,汇安基金,基金托管人,工商银行
基金经理人,单柏霖,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率×60%+上证国债指数收益率×40%,跟踪标的,该基金无跟踪标的
