基金全称,中欧创新未来18个月封闭运作混合型证券投资基金,基金简称,中欧创新未来混合(LOF)
基金代码,501208（主代码）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年11月13日,成立日期/规模,2020年10月09日 / --
资产规模,39.04亿元（截止至：2025年06月30日）份额规模38.599亿份（截止至：2025年06月30日）,份额规模,38.599亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,浦发银行
基金经理人,邵洁、刘金辉,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*70%+恒生指数收益率*10%+银行活期存款利率(税后)*20%,跟踪标的,该基金无跟踪标的
