基金全称,交银施罗德内核驱动混合型证券投资基金,基金简称,交银内核驱动混合
基金代码,008507（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年01月08日,成立日期/规模,2020年01月13日 / 59.319亿份
资产规模,18.43亿元（截止至：2025年06月30日）份额规模23.6599亿份（截止至：2025年06月30日）,份额规模,23.6599亿份（截止至：2025年06月30日）
基金管理人,交银施罗德基金,基金托管人,建设银行
基金经理人,封晴,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×70%+中证综合债券指数收益率×30%,跟踪标的,该基金无跟踪标的
