基金全称,宝盈创新驱动股票型证券投资基金,基金简称,宝盈创新驱动股票A
基金代码,009491（前端）基金类型股票型,基金类型,股票型
发行日期,2020年08月03日,成立日期/规模,2020年08月10日 / 58.212亿份
资产规模,9.24亿元（截止至：2025年06月30日）份额规模7.9319亿份（截止至：2025年06月30日）,份额规模,7.9319亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,交通银行
基金经理人,容志能,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证新兴产业指数收益率×75%+中证港股通综合指数(人民币)收益率×10%+中证综合债券指数收益率×15%,跟踪标的,该基金无跟踪标的
