基金全称,汇丰晋信双核策略混合型证券投资基金,基金简称,汇丰晋信双核策略混合C
基金代码,000850（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2014年10月27日,成立日期/规模,2014年11月26日 / 10.071亿份
资产规模,1.63亿元（截止至：2025年06月30日）份额规模1.2342亿份（截止至：2025年06月30日）,份额规模,1.2342亿份（截止至：2025年06月30日）
基金管理人,汇丰晋信基金,基金托管人,交通银行
基金经理人,韦钰,成立来分红,每份累计0.84元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数*60%+中债新综合指数*40%,跟踪标的,该基金无跟踪标的
