基金全称,融通中证云计算与大数据主题指数证券投资基金(LOF),基金简称,融通中证云计算与大数据主题指数(LOF)C
基金代码,014130（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年06月18日,成立日期/规模,2021年11月30日 / --
资产规模,9.63亿元（截止至：2025年09月30日）份额规模5.4536亿份（截止至：2025年09月30日）,份额规模,5.4536亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,建设银行
基金经理人,何天翔、林丽娟,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证云计算与大数据主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证云计算与大数据主题指数
