基金全称,国泰海通创新成长混合型发起式证券投资基金,基金简称,国泰海通创新成长混合发起C
基金代码,018326（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年05月12日,成立日期/规模,2023年05月16日 / 0.120亿份
资产规模,0.13亿元（截止至：2025年06月30日）份额规模0.1523亿份（截止至：2025年06月30日）,份额规模,0.1523亿份（截止至：2025年06月30日）
基金管理人,国泰海通资管,基金托管人,建设银行
基金经理人,陈思靖,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*80%+中债总全价(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
