基金全称,华安创业板50交易型开放式指数证券投资基金联接基金,基金简称,华安创业板50ETF联接C
基金代码,160424（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2017年02月20日,成立日期/规模,2019年05月21日 / --
资产规模,24.75亿元（截止至：2025年06月30日）份额规模15.5699亿份（截止至：2025年06月30日）,份额规模,15.5699亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,建设银行
基金经理人,许之彦,成立来分红,每份累计0.28元（1次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.25%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,创业板50指数收益率*95%+商业银行税后活期存款利率*5%,跟踪标的,创业板50指数
