基金全称,南方行业精选一年持有期混合型证券投资基金,基金简称,南方行业精选一年混合C
基金代码,010063（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年10月12日,成立日期/规模,2020年10月27日 / 50.791亿份
资产规模,2.74亿元（截止至：2025年06月30日）份额规模4.1503亿份（截止至：2025年06月30日）,份额规模,4.1503亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,招商银行
基金经理人,骆帅,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证800指数收益率×60%+中证港股通综合指数(人民币)收益率×10%+中债总指数收益率×30%,跟踪标的,该基金无跟踪标的
