基金全称,富国中证移动互联网指数型证券投资基金(LOF),基金简称,富国中证移动互联网指数(LOF)A
基金代码,161025（主代码）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2014年08月13日,成立日期/规模,2014年09月02日 / 4.099亿份
资产规模,3.92亿元（截止至：2025年06月30日）份额规模4.2亿份（截止至：2025年06月30日）,份额规模,4.2亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,招商证券
基金经理人,牛志冬,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.12%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证移动互联网指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证移动互联网指数
