基金全称,安信优势增长灵活配置混合型证券投资基金,基金简称,安信优势增长混合C
基金代码,002036（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年05月11日,成立日期/规模,2015年11月17日 / --
资产规模,5.29亿元（截止至：2025年06月30日）份额规模2.0269亿份（截止至：2025年06月30日）,份额规模,2.0269亿份（截止至：2025年06月30日）
基金管理人,安信基金,基金托管人,招商证券
基金经理人,聂世林,成立来分红,每份累计0.39元（3次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.20%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×50%+中证综合债券指数收益率×50%,跟踪标的,该基金无跟踪标的
