基金全称,金鹰信息产业股票型证券投资基金,基金简称,金鹰信息产业股票C
基金代码,005885（前端）基金类型股票型,基金类型,股票型
发行日期,2018年04月17日,成立日期/规模,2018年04月18日 / --
资产规模,2.55亿元（截止至：2025年06月30日）份额规模0.9867亿份（截止至：2025年06月30日）,份额规模,0.9867亿份（截止至：2025年06月30日）
基金管理人,金鹰基金,基金托管人,广州农商银行
基金经理人,倪超,成立来分红,每份累计0.94元（6次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证TMT产业主题指数收益率×80%+中债总财富(总值)指数收益率×20%,跟踪标的,该基金无跟踪标的
